name,description,specializations,expertises,premierPartner,initiatives,products,regions
Codan Consulting,"Cloud Partner offering assistance. ... Cloud Partner ... Industries: Consumer Packaged Goods, Advertising &amp; Marketing, Business ...",,,False,,"Google Workspace, Chrome",EMEA_REGION
TechTank,TechTank is an innovative technology consulting &amp; managed services firm that enables our clients to achieve high-impact business results utilizing ...,,,False,,"Google Cloud Platform, Google Workspace",GLOBAL_REGION
Luminate Security Ltd.,,,,False,,"Google Cloud Platform, Google Workspace",GLOBAL_REGION
Advania hf.,"Industries: Consumer Packaged Goods, Education, Financial Services, Other, Advertising &amp; Marketing, Agriculture, Automotive, Business &amp; ...",,,False,,"Google Workspace for Education, Chrome","EMEA_REGION, GLOBAL_REGION"
Legnurt,"Legnurt is an edtech startup with a flagship product, SEOS. SEOS was created by a group of highly motivated professionals ...",,,False,Google for Education Integrated Solutions,"Google Cloud Platform, Google Workspace",GLOBAL_REGION
Modern Managed IT,We are proud to serve and support San Antonio&#39;s small business community. Top-grade IT used to be a luxury for small businesses. Not anymore ...,,,False,,Google Workspace,NA_REGION
(주)코그넷나인,"코그넷나인(COGNET9)은 인공지능 학습 데이터 준비부터 서비스 기획, 설계 및 개발, 그리고 운영 및 관리 서비스에 이르기까지 기업의 인공지능 도입 ...",,,False,,Google Cloud Platform,APAC_REGION
Acelérala,"Acelérala (YUCA EIRL) es una empresa enfocada en el mercado peruano. Ayudamos a empresas con instalaciones, migraciones ...",,,False,,"Google Workspace, Google Workspace for Education",LATAM_REGION
Jastel Network,"JasTel Network Company Limited (JasTel) is a telecommunications network, service, and internet provider in Thailand and throughout international ...",,,False,Cloud Interconnect,"Google Cloud Platform, Google Workspace",GLOBAL_REGION
Crasman Oy,"We are your Google Cloud Partner in crafting digital success. Customer experience, websites and online stores, product ...",,,False,,Google Cloud Platform,EMEA_REGION
富士フイルムビジネスイノベーション株式会社,2021年4月、当社は社名を「富士フイルムビジネスイノベーション株式会社」に変更しました。また、同日より新たな経営体制がスタートしました。新社名には ...,,,False,,"Chrome, Google Workspace",JAPAN_REGION
"ZAK Solutions for Computer Systems, kuwait","zak solutions for computer systems kuwait. ... ZAK Solutions for Computer Systems, kuwait ... Attachment Name: logo ...",,,False,,Google Cloud Platform,EMEA_REGION
emerisoft Business Solutions Private Limited,,,,False,,"Google Cloud Platform, Google Workspace",GLOBAL_REGION
AlmavivA S.p.A.,"Synonymous with digital innovation and a leading Italian group in the Information &amp; Communications Technology sector, it accompanies the ...",,,False,,Google Cloud Platform,EMEA_REGION
"ECS Telecom Co., Ltd","(주)이씨에스텔레콤. ... Enterprise Communication Solution ... Attachment Name: Logo ... Industries: Financial Services, Other ...",,,False,,Google Cloud Platform,APAC_REGION
Daffodil Software Private Limited,"Daffodil Software Private Limited ... Attachment Name: a2f4M000001NAlz ... Support Country: India, Ukraine, US Virgin Islands ...",,,False,,Google Cloud Platform,APAC_REGION
PB Tech,"Founded in 1993 and 100% New Zealand owned, PB Tech is New Zealand&#39;s largest computing hardware reseller with stores and service centres ...",,,False,,"Chrome, Google Workspace",APAC_REGION
Teamapps,Teamapps enhances the oversight capabilities of IT teams by providing a comprehensive monitoring solution for AppSheet citizen development ...,,,False,,"Google Cloud Platform, Google Workspace",GLOBAL_REGION
"Xseed Co., Ltd.",,,,False,,,
Deshpande Foundation,,,,False,,"Google Cloud Platform, Google Workspace",GLOBAL_REGION
Braze,,,,False,,"Google Cloud Platform, Google Workspace",GLOBAL_REGION
ReadyTI,A ReadyTI é uma empresa especializada em entrega de recursos computacionais em cloud e gestão de ambiente de TI ...,,,False,,"Google Workspace, Google Cloud Platform",LATAM_REGION
주식회사 꿈많은청년들,꿈많은청년들은 고객과의 대화를 통해 고객사의 비즈니스 요구사항을 이해하고 최고 수준의 챗봇 제작 서비스를 제공합니다 ...,,,False,,"Google Cloud Platform, Google Workspace","GLOBAL_REGION, APAC_REGION"
Indigo Arc LLC,"Indigo Arc has built, managed, serviced and sold Google Cloud Platform and Google Workspace solutions in the Healthcare, Government and ...",,,False,,"Google Workspace, Google Cloud Platform",NA_REGION
Galeola S.r.l.,Galeola è una azienda di consulenza con competenze comprovate in vari settori dell&#39;Information Technology. Nell&#39;ambito ...,,,False,,Google Workspace,EMEA_REGION
株式会社オープンストリーム,パブリッククラウド黎明期よりAWS認定パートナーを皮切りに、Azure、Alibaba、Google Cloud Platform、Oracle Cloudなど、各ベンダーとのパートナーシップ ...,,,False,,Google Cloud Platform,JAPAN_REGION
情報技術開発株式会社,tdiグループは、独立系IT企業として1968年の創業から50年に渡り、ソフトウェア開発、システム運用、組み込みソフト開発、データセンターサービス等、多彩な ...,,,False,,Google Cloud Platform,JAPAN_REGION
Bedriftssystemer AS,"We are a company located far up north in Norway, in the city of Tromsø. We deliever a broad range of IT-Equipment and services ...",,,False,,"Google Workspace for Education, Chrome, Google Workspace",EMEA_REGION
gini,"With gini, you&#39;ll have the tools you need to plan ahead, know where your company is going, and understand the value of your business quickly ...",,,False,,"Google Cloud Platform, Google Workspace",GLOBAL_REGION
Reti S.p.A.,"Costituita a Busto Arsizio nel 1994, Reti SpA, B Corp e società benefit quotata su Euronext Growth Milan, è tra i principali player italiani nel settore ...",,,False,,Google Cloud Platform,EMEA_REGION
PC Peripherals,"Everything we do is focused on helping teachers to teach and students to learn, for over 25 years we&#39;ve created an extensive range of innovative ...",,,False,,,
Agile CRM Inc,,,,False,,"Google Cloud Platform, Google Workspace",GLOBAL_REGION
Coforge Inc.,"Coforge is a global digital services and solutions provider, that leverages emerging technologies and deep domain expertise to deliver real-world ...",,,False,,"Professional Services Organization, Google Cloud Platform","APAC_REGION, NA_REGION, GLOBAL_REGION"
Cluster,Somos especialistas na criação e desenvolvimento de soluções de UX/UI para embedded analytics. ... Advanced embedded analytics for Looker ...,,,False,,Google Cloud Platform,LATAM_REGION
simz2.com.ar,"Industries: Education, Business &amp; Professional Services, Food, Beverage &amp; Restaurants, Non-Profit, Tourism &amp; Leisure",,,False,,"Google Workspace, Google Workspace for Education",LATAM_REGION
Impactsure Technologies Private Limited,"As an AI/ML-powered document analytics Web 3.0 SaaS provider, Impactsure enables organisations to manage documents and data and adopt ...",,,False,,Google Cloud Platform,"GLOBAL_REGION, APAC_REGION"
Qatar Datamation Systems,"For more than three decades, Qatar Datamation Systems has been Qatar&#39;s leading IT service provider serving businesses big and small throughout ...",,,False,,Google Cloud Platform,EMEA_REGION
COMPUTER ARABIA W.L.L,Computer Arabia&#39;s name rings commitment and reliability and is trusted by tens of hundreds of business houses all over Qatar when it comes to ...,,,False,,Google Cloud Platform,EMEA_REGION
Impulse International for Telecommunication,"IMPULSE is a unique venture capital company, positioned to drive change by bringing innovative technology and business enrichment solutions ...",,,False,SecOps Reseller Initiative,"Professional Services Organization, Google Workspace, Google Cloud Platform, Google Workspace for Education",EMEA_REGION
Iddink Spain,"Distribuidor de contenidos y materiales educativos. ... Iddink Spain ... Attachment Name: Iddink, Iddink logo ... Industries: Education ...",,,False,,,
AKKODiSコンサルティング株式会社,AKKODiSは、コネクテッドデータの力を活用し、デジタルとエンジニアリングを融合させたソリューションを世界30ヵ国で提供するグローバルリーダーです ...,,,False,,"Google Cloud Platform, Google Cloud Training",JAPAN_REGION
NetAService,Somos una empresa con más de 17 años de experiencia pero con un equipo joven en continuo aprendizaje. Aportamos soluciones rentables ...,,,False,,"Google Workspace, Google Workspace for Education",EMEA_REGION
Trainocate Indonesia,"Trainocate adalah Penyedia Pelatihan terkemuka di Asia, dengan kehadiran kami di sebagian besar negara Asia, Jepang, dan juga AS ...",,,False,,"Professional Services Organization, Google Cloud Training","JAPAN_REGION, APAC_REGION"
Studyplus for School,学習管理プラットフォーム「Studyplus for Schoolは、学習管理アプリ「Studyplus」を利用して生徒の学習進捗を可視化し、先生のオフライン及びオンライン ...,,,False,Google for Education Integrated Solutions,"Google Workspace, Google Workspace for Education","GLOBAL_REGION, JAPAN_REGION"
DM Group srl,Lavoriamo perché ogni interazione multicanale sia rilevante ed efficace e consolidi la comprensione e la conoscenza del cliente ...,,,False,,"Google Workspace, Google Cloud Platform",EMEA_REGION
Wow Effect Communications,We are a full service Nigerian digital solution agency with a strong performance-led ethos. Our tagline: “Data-Driven Digital ...,,,False,,Google Workspace,EMEA_REGION
Officina Digitale Srl,Officina Digitale riunisce e valorizza le competenze ventennali di un gruppo di sistemisti accomunati da una grande passione per il proprio lavoro ...,,,False,,"Google Workspace, Google Workspace for Education",EMEA_REGION
CleverAds,"CleverAds brings effective digital marketing packages with numerous advertising formats including: GSuite, video, mobile, TVC &amp; Wi-Fi, Google ...",,,False,,"Google Workspace, Google Workspace for Education",APAC_REGION
OneLedger Technology Inc.,"OneLedger is a blockchain technology company that provides consultation and software development services, in addition to our Blockchain as a ...",,,False,,"Google Cloud Platform, Google Workspace",GLOBAL_REGION
Extreme Broadband Sdn Bhd,Allow other to know about Extreme Broadband and helps us to promote our services according to customer requirements ...,,,False,Cloud Interconnect,"Google Cloud Platform, Google Workspace",GLOBAL_REGION
株式会社インターナショナルシステムリサーチ,ISRは、クラウドセキュリティの代表的なマーケットリーダーである、Google、SalesForceと共同でクラウドビジネスを展開しています。100％自社開発でサービス ...,,,False,,"Google Cloud Platform, Google Workspace",GLOBAL_REGION
G Teknoloji - GTech,GTech is a technology company offering value added services and solutions in digital transformation processes by merging its&#39; experiences in ...,,,False,,Google Cloud Platform,EMEA_REGION
"INFORMATION SERVICES INTERNATIONAL-DENTSU, LTD.",ISIDは、1975年に電通とGEのジョイントベンチャーとして設立され、先進的な情報技術をベースに、アイデアとクリエーティビティを掛け合わせたユニークなIT ...,,,False,Looker,Google Cloud Platform,JAPAN_REGION
Future Cloud Experts,Future Cloud Experts is a Born in Cloud Company who is Focused on helping Businesses Improve Productivity &amp; Efficiency through Google&#39;s Cloud ...,,,False,,"Google Workspace, Google Workspace for Education",EMEA_REGION
dharma.h Software Technologies Private Limited,"At dharma.h, we believe in value creation through innovation. We create, innovate, develop and build solutions, define processes and build brands ...",,,False,ISV Solution Connect,"Google Cloud Platform, Google Workspace",GLOBAL_REGION
Klokan Technologies GmbH,"Klokan Technologies GmbH is a Swiss company specialized in online map publishing, geographic information retrieval and applications of open ...",,,False,,"Google Cloud Platform, Google Workspace",GLOBAL_REGION
ESX,Somos uma empresa de pessoas e trabalhamos com tecnologia. Em 2010 fomos a primeira organização do mundo a ...,,,False,,Google Cloud Platform,LATAM_REGION
ACPL Systems Pvt. Ltd.,ACPL is a leader in cyber security solutions and services. We are a team of more than 160+ motivated professionals with ...,,,False,,Google Cloud Platform,APAC_REGION
株式会社デジタルフォルン,デジタルフォルンではマルチクラウド環境における俊敏なサービス開発を実現するために、既存サービスのモダナイズからアジャイルベースの開発、組織立ち ...,,,False,,Google Cloud Platform,JAPAN_REGION
JBCC CORPORATION,,,,False,,Google Cloud Platform,JAPAN_REGION
Oivan,"Oivan specializes in modern Digital Transformation, with UI/UX design, software development, cloud operations, AI &amp; data analytics and integrations ...",,,False,,Google Cloud Platform,EMEA_REGION
GO DIGITAL HUB,,,,False,,"Google Cloud Platform, Google Workspace",GLOBAL_REGION
Jivrus Technologies,"Jivrus Technologies brings out awesome technologies to make the business success through innovative products and solutions in Cloud, analytics ...",,,False,,"Google Cloud Platform, Google Workspace",GLOBAL_REGION
株式会社 Hogetic Lab,Hogetic Lab は「データの力で経営を再発明する」をミッションとする分析領域特化の DX スタートアップです。次世代型のデータプラットフォームの提供 ...,,,False,,Google Cloud Platform,"GLOBAL_REGION, JAPAN_REGION"
Splenta Systems Private Limited,"As a trusted Google-focused technology partner for the BFSI sector, Splenta Systems specialise in building custom software solutions, providing ...",,,False,,Google Cloud Platform,APAC_REGION
Thinkcare Technologies,﻿. Aceleramos el crecimiento de nuestros clientes con soluciones centradas en los usuarios garantizando su competitividad y el constante ...,,,False,,Google Cloud Platform,LATAM_REGION
Predicta,"Somos um hub de soluções que garante mais inteligência, eficiência e otimização nas iniciativas de mídia digital. Atuamos ...",,,False,,Google Cloud Platform,"GLOBAL_REGION, LATAM_REGION"
TSA SRL,"Presente da diversi anni sul mercato, TSA opera con crescente successo nel settore Education, offrendo soluzioni adatte alla moderna ...",,,False,,"Chrome, Google Workspace",EMEA_REGION
UBS IT SOLUTIONS LLC,UBS IT SOLUSTIONS provide a comprehensive range of services to help our customers adopt Google Cloud Platform including migration ...,,,False,,"Google Workspace, Google Workspace for Education",EMEA_REGION
Newline Engage Suite,Newline Engage is a professional education software designed to work with Newline&#39;s range of interactive displays. Newline ...,,,False,,"Google Cloud Platform, Google Workspace",GLOBAL_REGION
IP Plus Studio,"Želite da koristite svu moć Google tehnologija, a da vam neko pomogne oko tehničkih stvari i dosadne administracije? Tu smo mi ...",,,False,,"Google Workspace, Google Workspace for Education",EMEA_REGION
Redox,"Redox helps payers, providers, and digital health organizations abstract the complexity of legacy protocols and outdated systems to build ...",,,False,ISV Solution Connect,Google Cloud Platform,"NA_REGION, GLOBAL_REGION"
EXARO,"ONE LIFE - ONLINE ... EXARO is Google Cloud and Google Ads Partner with office in Budapest, Hungary. ... Attachment ...",,,False,,"Google Workspace, Google Workspace for Education",EMEA_REGION
USEN Smart Works Corporation,USENの法人向けICTソリューション「USEN GATE02」。 オフィスのネットワークインフラからクラウドサービスまで、幅広いサービスラインアップでお客様の ...,,,False,Lead Management,"Google Cloud Platform, Google Workspace","JAPAN_REGION, GLOBAL_REGION"
"Global Vision Multimedia KK,","Global Vision Multimedia is the most trusted end-to-end provider of multimedia delivery solutions for audiovisual, broadcast media, information ...",,,False,,"Chrome, Google Workspace",JAPAN_REGION
Wizeline Vietnam,Wizeline provides end-to-end software development for Fortune 500 companies. We partner with product leaders to modernize ...,,,False,,Google Cloud Platform,APAC_REGION
Data Strategy,We help companies to identify best practices for designing and implementing a successful data strategy: the most appropriate technologies to ...,,,False,,Google Cloud Platform,EMEA_REGION
British School Muscat,We aim to prepare our students for the challenges and opportunities that lie ahead we value learning that focuses on high performance in public ...,,,False,,Google Workspace for Education,EMEA_REGION
Eplan Consultants,ePlan Consultants - Productivity to the max. With an experience of over 10 years in Cloud services and being the first and ...,,,False,,"Google Workspace, Google Workspace for Education",EMEA_REGION
Aquarii TI,"Quem somos. Visão. Através da experiência e comprometimento de nossa equipe, buscamos exceder a expectativa de ...",,,False,,"Google Workspace, Chrome",LATAM_REGION
BearingPoint GmbH,"BearingPoint is Austria&#39;s largest management and technology consultancy. With 4,500 employees worldwide, we develop ...",,,False,ISV Solution Connect,Google Cloud Platform,EMEA_REGION
CLOUD.IN / HOSTINDIA.NET [ Hostin Services Private Limited ],Transform your business communication and collaboration using Managed Google Cloud Services by CLOUD.IN / HOSTINDIA.NET ...,,,False,,"Google Workspace, Google Cloud Platform",APAC_REGION
PX CLOUD,Contamos com uma equipe com mais de 12 anos de experiencia assim trazendo tranquilidade para o desafio de mover soluções e modernizar ...,,,False,,Google Workspace,LATAM_REGION
Onymos,"Onymos provides a pro-code Features-as-a-Service platform for chat, IoT, login, OCR, and more. Each pre-built app feature ...",,,False,,Google Cloud Platform,"GLOBAL_REGION, NA_REGION"
BlueShift Brasil,A BlueShift é uma empresa especializada em serviços e soluções de Big Data &amp; Analytics e seu diferencial é reunir sólida experiência ...,,,False,,Google Cloud Platform,LATAM_REGION
Soluciones Orión Colombia,"Orión es el partner digital que resuelve los desafíos críticos del negocio, a través de servicios y soluciones confiables y de vanguardia ...",,,False,,"Google Workspace for Education, Google Workspace, Google Cloud Platform","LATAM_REGION, GLOBAL_REGION"
itesys AG,SAP Basis – our hearts beat for this topic and our minds work on it. We are wholehearted technicians and service providers ...,,,False,,Google Cloud Platform,EMEA_REGION
Regnology,Regnology is a leading technology firm on a mission to bring safety and stability to the financial markets. With an exclusive ...,,,False,ISV Solution Connect,Google Cloud Platform,"GLOBAL_REGION, EMEA_REGION"
Cyber Code Technologies,/ About Cyber Code Technologies. Cyber Code Technologies is a seasoned IT &amp; Cyber Security Solutions and MSSP provider ...,,,False,,"Google Cloud Platform, Google Workspace","GLOBAL_REGION, EMEA_REGION"
LMT Retail & Logistics Ltd,Largest telco services and device retailer in Latvia. ... LMT Retail &amp; Logistics ... Attachment Name: 2021 03 12 ...,,,False,,"Chrome, Google Workspace",EMEA_REGION
Protostar Consulting Services,Protostar is a technology start-up and only Google Cloud Technology and SaaS partner in India specializing in software product development and ...,,,False,,Google Cloud Platform,GLOBAL_REGION
Connecting Dots,We help companies install and utilize Google Workspace and Google Advertising Services. We customize our solutions ...,,,False,,Google Workspace,EMEA_REGION
E-GOO by Otherbase Srl,"E-goo, Google Cloud Partner Italia, è la divisione di Otherbase Srl specializzata nella vendita delle soluzioni Google Workspace ...",,,False,,Google Workspace,EMEA_REGION
CULTURIT (컬처릿),"(주)컬처릿은 다양한 융합 산업 분야(스마트 공장, 5G 등)와 엔터테인먼트(공연, 음악 등) 모두 하나의 문화로 인식하고 사람을 주체로 계속 연구하고 개발 ...",,,False,,"Chrome, Google Workspace",APAC_REGION
"WorldTech IT, LLC","WorldTech IT is a leading Professional Services &amp; Sales Company around F5 Solutions. An F5 Guardian Partner, we specialize ...",,,False,,Google Cloud Platform,"GLOBAL_REGION, NA_REGION"
EDUSCULPT EDUCATION SOLUTIONS PVT LTD,Hi- We are an education company who supports all the educational institutions across south india on technology front with multiple initiatives ...,,,False,,Google Workspace,APAC_REGION
CloudTeam Sp. z o.o.,"CloudTeam is one of the leading companies in the IT industry in Poland, which specializes in Cloud Computing with major platforms including ...",,,False,,"Google Cloud Training, Google Workspace",EMEA_REGION
INET Managed Services Company Limited,INET Managed Services Company Limited or INETMS was established in 2016 with an authorized capital of 20 million baht ...,,,False,,Google Cloud Platform,APAC_REGION
jambo GmbH,jambo GmbH – Das sind wir! Wir sind ein innovatives Unternehmen aus dem Sauerland mit langjähriger Erfahrung im Bildungsbereich ...,,,False,,"Chrome, Google Workspace",EMEA_REGION
Tools for Schools,"Since 2011, Tools for Schools has committed to working alongside educators to help students thrive. Education is changing ...",,,False,Google for Education Integrated Solutions,"Google Cloud Platform, Google Workspace",GLOBAL_REGION
Unzyp Software,We provide services and solution for planning and development of expert software and technology structure (information technology) our services ...,,,False,,"Google Cloud Platform, Google Workspace",GLOBAL_REGION
ThoughtSol Infotech Pvt. Ltd,Commenced in 2014 ThoughtSol was established with the simple thought of bringing a meaningful change. The changes ...,,,False,,"Google Cloud Platform, Google Workspace",APAC_REGION
Bubblegum Tablets,"Rustic Living Trading &quot;t/a&quot; Bubblegum Tablets. We develop, manufacture and distribute educational hardware to the educational ...",,,False,,,
Blue Mink Company Limited,We are experts in ERP systems and cloud solutions and business software. We have experience working in different back ...,,,False,,"Google Cloud Platform, Google Workspace",GLOBAL_REGION
Valcon,Our mission is to combine premium operations consulting with deep technology and data knowledge to add value to our clients ...,,,False,,Google Cloud Platform,EMEA_REGION
delphis tel: 509505606 24h,Delphis w profesjonalny i przyjazny sposób wprowadzi Państwa firmę w świat Aplikacji Google. Pomoże wybrać rozwiązania ...,,,False,,"Google Workspace, Chrome",EMEA_REGION
Sisworld,En un mundo colaborativo. Integramos soluciones. Somos una empresa con 24 años de experiencia en el mercado tecnológico ...,,,False,,"Google Workspace for Education, Chrome, Google Workspace",LATAM_REGION
ACTUM Digital,"Outstanding GCP experiences. At scale. Make the cloud drive your business! With its HQ in Prague (CZ), and offices in ...",,,False,,Google Cloud Platform,EMEA_REGION
ILIOS DIGITAL,We are a Next- Generation Global Technology Company that helps enterprises stay ahead in the ever-changing digital age and accelerate the ...,,,False,,"Google Cloud Platform, Google Workspace",APAC_REGION
OLAM,"Desde el año 1994, Grupo OLAM se presenta al Mercado como una opción de uso y aprovechamiento de la tecnología en la empresa, habiendo ...",,,False,,"Google Workspace, Google Cloud Platform",LATAM_REGION
Wezen Group,"With an interdisciplinary staff, we cover horizontally the IT needs of our customers. We promote synergies based on our ...",,,False,,Google Cloud Platform,LATAM_REGION
田中電気　株式会社,田中電気は、 Google 認定販売パートナーとして、デバイスの手配始め導入計画の策定から運用面のアドバイス、導入に向けた講習会、保守サービスまで ...,,,False,,"Chrome, Google Workspace",JAPAN_REGION
Elementary Technology,Elementary Technology is a leading technology partner to hundreds of schools throughout UK. We provide a range of hardware ...,,,False,,,
Pendo.io,"Pendo is a product cloud that provides user insight, guidance, and communication for digital product teams. With Pendo ...",,,False,ISV Solution Connect,Google Cloud Platform,"GLOBAL_REGION, NA_REGION"
TurinGears,La transformación digital avanza redefiniendo radicalmente la forma en que las organizaciones operan y se relacionan con sus clientes ...,,,False,,"Google Workspace, Google Cloud Platform",LATAM_REGION
DigitalTrack Solutions Private Limited,DigitalTrack Solutions Private Limited is one of India&#39;s premier IT Services and Solutions company delivering “End to End” Integrated IT ...,,,False,,"Google Workspace, Chrome",APAC_REGION
Hypernet Indodata,Hypernet Professional Service Service is an IT resource management (information and technology) service that is owned by the customer ...,,,False,,Google Workspace,APAC_REGION
Valiance Solutions,"Valiance is a specialized provider of digital transformation solutions for clients, utilizing our expertise in Artificial Intelligence, Data engineering, and ...",,,False,,Google Cloud Platform,APAC_REGION
Lipply.inc,DXコンサルティング／デジタライゼーション支援事業を行っています。 SAASの導入から活用、運用までのコンサルティング支援を ...,,,False,,Google Cloud Platform,JAPAN_REGION
"UpCounsel, Inc.",,,,False,,"Google Cloud Platform, Google Workspace",GLOBAL_REGION
Spark YES,We are a training services provider that champions youth empowerment through various programs for schools. Know more ...,,,False,,Google Workspace for Education,APAC_REGION
Bharat Light And Power (Parent Co. of Industry.AI),Bharat Light &amp; Power Pvt Ltd (BLP) is the parent company of Industry.AI. ﻿BLP Industry.AI is an Enterprise AI and Industrial ...,,,False,,"Professional Services Organization, Google Cloud Platform","APAC_REGION, GLOBAL_REGION"
Sistetronics S.A.S.,Con 28 años en el sector de la tecnología informática nos permite ofrecerle diversidad de soluciones altamente confiables y eficientes bajo los ...,,,False,,"Chrome, Google Workspace, Google Workspace for Education",LATAM_REGION
"GS - NET computers, s.r.o.","Dodáváme řešení na míru v oblasti IT / We invent IT solutions for you, G-Suite reseller, G-Suite for education. Over 10 years ...",,,False,,Google Workspace,EMEA_REGION
Tech Bakery B.V.,Bij Tech Bakery richten we ons op het verbeteren van de samenwerking in organisaties. Het draait hierbij volledig om het ...,,,False,,Google Workspace,EMEA_REGION
Minfy Technologies Private Limited,Minfy is the ideal digital transformation partner to lead the change. Minfy believes in a symbiotic relationship between humans ...,,,False,,Google Cloud Platform,APAC_REGION
EuroLeaps GmbH,We help you to transform your business with Cloud and AI. Our Services: Cloud AI: Leverage Generative AI and LLMs to ...,,,False,,"Google Cloud Platform, Google Workspace",EMEA_REGION
de Rolf groep,De Rolf groep richt zich op de wereld van het kind van 0-12 jaar. We vinden we het belangrijk om kinderen al op jonge ...,,,False,,"Google Workspace, Chrome",EMEA_REGION
MAXIS BUSINESS,"Maxis is the leading converged solutions provider in Malaysia providing a variety of high quality digital services encompassing voice, data, and ...",,,False,,Google Cloud Platform,APAC_REGION
Manantial Tecnologico,"Somos una empresa de servicios TI con experiencia en servicios Cloud, Seguridad y Base de datos. ... Manantial Tecnologico ...",,,False,,"Google Cloud Training, Google Cloud Platform",LATAM_REGION
株式会社Dirbato,Dirbatoは、デジタルテクノロジーを駆使し、企業と世界の課題を解決するスペシャリスト集団です。 ご支援テーマは、Google Cloud ...,,,False,,Google Cloud Platform,JAPAN_REGION
VEGA TRAINING,"We are a Training Company specialized in IT training since 2002, and thanks to the twenty-year experience gained in the field of professional ...",,,False,,"Google Cloud Platform, Google Cloud Training",EMEA_REGION
Datawatch Corporation,,,,False,,"Google Cloud Platform, Google Workspace",GLOBAL_REGION
too.com,"https://www.too.com/. 本社HP​. ... Industries: Education, Advertising &amp; Marketing, Automotive, Gaming, Industrial Goods ...",,,False,,"Chrome, Google Workspace",JAPAN_REGION
ManShiv Business Solutions Limited,"ManShiv Business Solutions Limited is a leading information technology, consulting, IT training and consulting, technology transformation domain ...",,,False,,"Google Workspace, Chrome",EMEA_REGION
"Geoforce Tech. Co., Ltd.",Geoforce is a leading provider of Geomatics and GIS-based applications service and delivers a complete range of industry-leading professional ...,,,False,,"Google Maps Platform, Google Cloud Platform",APAC_REGION
Fastweb,"With 3,1 million wireline and 3 million mobile customers, Fastweb is one of Italy&#39;s leading telecommunications operators ...",,,False,,"Google Workspace, Google Cloud Platform",EMEA_REGION
Urudata S.A.,Urudata es una empresa líder en tecnologías TIC ubicada en Uruguay. Brinda Soluciones y Servicios Innovadores a los ...,,,False,,"Google Cloud Platform, Google Workspace",LATAM_REGION
Dataside,Dataside&#39;s mission is to guide companies on the data journey by increasing reliability and agility in data and AI-driven decision-making ...,,,False,,Google Cloud Platform,LATAM_REGION
Nexura Internacional S.A.S.,"Somos una compañía especializada en ofrecer servicios y soluciones de para la transformación digital de las Entidades públicas, con presencia ...",,,False,,Google Workspace,LATAM_REGION
コムチュアネットワーク株式会社,■コムチュアネットワーク株式会社﻿​. ​. クラウドとビッグデータ・AIでＩＴをリードするコムチュア ４つの事業分野（クラウド、デジタル ...,,,False,,Google Cloud Platform,JAPAN_REGION
INTELINUVEM,Nossa missão é capacitar empresários brasileiros a alavancarem seus negócios com inteligência e inovação. Imagine ...,,,False,,Google Workspace,LATAM_REGION
NOTIFY INFORMATION CENTRE,"Notify Information Centre (NIC) is an Information Technology (IT) company, also a Google Cloud Partner with active sell and service (deployment ...",,,False,,"Google Workspace for Education, Google Workspace",EMEA_REGION
Tuah Packet Sdn Bhd,Tuah Packet Sdn Bhd was incorporated in 2009 as a private limited ICT company in Malaysia. Tuah Packet also registered ...,,,False,,,
Codimite (PVT) LTD,"Codimite is your powerhouse partner in technology innovation, dedicated to breaking barriers and making the impossible a reality ...",,,False,,"Google Cloud Platform, Google Workspace for Education",NA_REGION
I-World Networks,We focus on helping Educators and Learners to develop an inspiring culture of digital education through the use of Google Workspace for ...,,,False,,"Google Workspace, Chrome",EMEA_REGION
Solutions by stc,Solution by stc vision is &quot; Spearhead the B2B ICT and Digital agenda for stc group by offering segment focused digital products &amp; services&quot; ...,,,False,,"Google Workspace, Google Cloud Platform",EMEA_REGION
Swifta Systems and Services Ltd,Swifta Systems is a professional services company focused on technology service delivery and business change management ...,,,False,,"Google Cloud Platform, Google Workspace",EMEA_REGION
SEISTO,Soluciones bien pensadas. Soluciones creadas con pasión para clientes apasionados por su trabajo. Confiamos en nuestros ...,,,False,,Google Workspace,LATAM_REGION
Mr. Cooper,"Mr. Cooper Group Inc. provides quality servicing, origination, and transaction-based services related principally to single ...",,,False,ISV Solution Connect,Google Cloud Platform,"NA_REGION, GLOBAL_REGION"
Pentium Network Technology Limited,Pentium Network 奔騰網路以全面支援混合雲與多公有雲的 #Marvin #AIOps 軟體方案，為擁有龐大而複雜的 IT 基礎架構的企業客戶，提供開箱即用 ...,,,False,,Google Cloud Platform,"GLOBAL_REGION, APAC_REGION"
Euvic SA,"There&#39;s no denying that more than 5000 employees and 17 years of experience make us a large company. And yet, despite ...",,,False,,Google Cloud Platform,EMEA_REGION
Vooxell,Somos un equipo de profesionales especializados en inteligencia de negocios. Nuestro trabajo se centra en el análisis ...,,,False,,Google Cloud Platform,LATAM_REGION
Inicie,Ecosistema de innovación para tu camino de transformación educativa. ... Ecosistema de innovación ... Case Study: Transforming ...,,,False,,Google Cloud Platform,LATAM_REGION
Offis Pty Limited,"Established in 1997, Offis Pty Ltd is a 100% Australian owned company that has built a reputation on being a customer focused provider of high ...",,,False,,Google Cloud Platform,APAC_REGION
Industry.AI,Industry.AI is an independent subsidiary of the Bharat Light &amp; Power Group (BLP). BLP Industry.AI is an Enterprise AI and ...,,,False,ISV Solution Connect,"Google Cloud Platform, Professional Services Organization","GLOBAL_REGION, APAC_REGION"
